"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Foreign taxes","Dollars","81","millions","6","v61915300","1.2.29","63","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915301","1.2.30","272","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Official contributions","Dollars","81","millions","6","v61915302","1.2.32","237","","","","0"
"1981-01","Canada","2016A000011124","Payments, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915303","1.2.33","35","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915304","1.3.1","-3685","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915305","1.3.2","708","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Goods","Dollars","81","millions","6","v61915306","1.3.3","1741","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Services","Dollars","81","millions","6","v61915308","1.3.5","-1033","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Travel","Dollars","81","millions","6","v61915309","1.3.6","-140","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915310","1.3.7","-285","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915311","1.3.8","-613","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Government services","Dollars","81","millions","6","v61915312","1.3.9","5","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915313","1.3.10","-4327","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915314","1.3.11","-40","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915315","1.3.12","-4287","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915316","1.3.13","-2036","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915317","1.3.14","-174","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915318","1.3.15","-1862","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915319","1.3.16","-254","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915320","1.3.17","-1607","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Portfolio investment income","Dollars","81","millions","6","v61915321","1.3.18","-1425","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Portfolio investment income, interest on debt securities","Dollars","81","millions","6","v61915322","1.3.19","-1387","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Portfolio investment, interest on bonds","Dollars","81","millions","6","v61915323","1.3.20","-1191","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Portfolio investment, interest on money market instruments","Dollars","81","millions","6","v61915324","1.3.21","-196","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Portfolio investment income, dividends on equity and investment fund shares","Dollars","81","millions","6","v61915325","1.3.22","-39","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Other investment income","Dollars","81","millions","6","v61915326","1.3.23","-826","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Secondary income","Dollars","81","millions","6","v61915327","1.3.24","-66","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Private transfers","Dollars","81","millions","6","v61915328","1.3.25","-61","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Other private transfers","Dollars","81","millions","6","v61915329","1.3.26","2","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Foreign taxes","Dollars","81","millions","6","v61915330","1.3.29","-63","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915331","1.3.30","-5","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Canadian taxes","Dollars","81","millions","6","v61915332","1.3.31","263","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Official contributions","Dollars","81","millions","6","v61915333","1.3.32","-237","","","","0"
"1981-01","Canada","2016A000011124","Balances, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915334","1.3.33","-30","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915244","1.1.1","28146","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915245","1.1.2","24744","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Goods","Dollars","81","millions","6","v61915246","1.1.3","22014","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Services","Dollars","81","millions","6","v61915248","1.1.5","2730","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Travel","Dollars","81","millions","6","v61915249","1.1.6","846","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915250","1.1.7","815","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915251","1.1.8","928","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Government services","Dollars","81","millions","6","v61915252","1.1.9","140","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915253","1.1.10","2994","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915254","1.1.11","83","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915255","1.1.12","2911","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915256","1.1.13","565","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915257","1.1.14","0","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915258","1.1.15","565","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915259","1.1.16","388","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915260","1.1.17","178","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income","Dollars","81","millions","6","v61915261","1.1.18","92","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income, interest on debt securities","Dollars","81","millions","6","v61915262","1.1.19","12","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment, interest on bonds","Dollars","81","millions","6","v61915263","1.1.20","12","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment, interest on money market instruments","Dollars","81","millions","6","v61915264","1.1.21","","..","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Portfolio investment income, dividends on equity and investment fund shares","Dollars","81","millions","6","v61915265","1.1.22","80","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Other investment income","Dollars","81","millions","6","v61915266","1.1.23","2254","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Secondary income","Dollars","81","millions","6","v61915267","1.1.24","409","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Private transfers","Dollars","81","millions","6","v61915268","1.1.25","131","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Other private transfers","Dollars","81","millions","6","v61915269","1.1.26","131","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915270","1.1.30","278","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Canadian taxes","Dollars","81","millions","6","v61915271","1.1.31","273","","","","0"
"1981-04","Canada","2016A000011124","Receipts, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915272","1.1.33","5","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915273","1.2.1","32403","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915274","1.2.2","24731","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Goods","Dollars","81","millions","6","v61915275","1.2.3","21000","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Services","Dollars","81","millions","6","v61915276","1.2.5","3731","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Travel","Dollars","81","millions","6","v61915277","1.2.6","992","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915278","1.2.7","1065","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915279","1.2.8","1449","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Government services","Dollars","81","millions","6","v61915280","1.2.9","225","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915281","1.2.10","7213","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915282","1.2.11","121","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915283","1.2.12","7092","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915284","1.2.13","2164","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915285","1.2.14","174","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915286","1.2.15","1991","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915287","1.2.16","683","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915288","1.2.17","1308","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income","Dollars","81","millions","6","v61915289","1.2.18","1580","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income, interest on debt securities","Dollars","81","millions","6","v61915290","1.2.19","1505","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment, interest on bonds","Dollars","81","millions","6","v61915291","1.2.20","1276","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment, interest on money market instruments","Dollars","81","millions","6","v61915292","1.2.21","229","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Portfolio investment income, dividends on equity and investment fund shares","Dollars","81","millions","6","v61915293","1.2.22","75","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Other investment income","Dollars","81","millions","6","v61915294","1.2.23","3347","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Secondary income","Dollars","81","millions","6","v61915295","1.2.24","459","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Private transfers","Dollars","81","millions","6","v61915296","1.2.25","181","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Other private transfers","Dollars","81","millions","6","v61915297","1.2.26","123","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Personal transfers","Dollars","81","millions","6","v61915298","1.2.27","63","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Other private non-personal transfers","Dollars","81","millions","6","v61915299","1.2.28","60","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Foreign taxes","Dollars","81","millions","6","v61915300","1.2.29","58","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Government transfers","Dollars","81","millions","6","v61915301","1.2.30","278","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Official contributions","Dollars","81","millions","6","v61915302","1.2.32","243","","","","0"
"1981-04","Canada","2016A000011124","Payments, seasonally adjusted","Other transfers of government","Dollars","81","millions","6","v61915303","1.2.33","35","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Total current account","Dollars","81","millions","6","v61915304","1.3.1","-4256","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Goods and services","Dollars","81","millions","6","v61915305","1.3.2","12","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Goods","Dollars","81","millions","6","v61915306","1.3.3","1014","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Services","Dollars","81","millions","6","v61915308","1.3.5","-1001","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Travel","Dollars","81","millions","6","v61915309","1.3.6","-146","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Transportation","Dollars","81","millions","6","v61915310","1.3.7","-250","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Commercial services","Dollars","81","millions","6","v61915311","1.3.8","-521","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Government services","Dollars","81","millions","6","v61915312","1.3.9","-84","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Primary income","Dollars","81","millions","6","v61915313","1.3.10","-4219","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Compensation of employees","Dollars","81","millions","6","v61915314","1.3.11","-38","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Investment income","Dollars","81","millions","6","v61915315","1.3.12","-4180","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income","Dollars","81","millions","6","v61915316","1.3.13","-1599","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, interest","Dollars","81","millions","6","v61915317","1.3.14","-174","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, profits","Dollars","81","millions","6","v61915318","1.3.15","-1425","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, dividends","Dollars","81","millions","6","v61915319","1.3.16","-295","","","","0"
"1981-04","Canada","2016A000011124","Balances, seasonally adjusted","Direct investment income, reinvested earnings","Dollars","81","millions","6","v61915320","1.3.17","-1130","","","","0"
